"","Sampler","Timepoint","Anderson_42","HALLMARK_PI3k_akt","HALLMARK_TGF_BETA","HALLMARK_P53","HALLMARK_NOTCH","HALLMARK_WNT_BETA_CATENIN"
"GSM5824894","A","Diagnosis",2.81451697693699,3.14672729832272,2.83668128913793,2.88058391635976,2.36164041252157,2.50386661246184
"GSM5824847","A","Month2",2.99799501055731,3.09251990131617,2.85434814942923,2.84966451803251,2.25869806748747,2.57226884984315
"GSM5824858","A","Month6",2.96744190069499,3.09121506571559,2.78809031123539,2.80007122320439,2.33082286441604,2.56229133161711
"GSM5824838","B","Diagnosis",3.03519898478526,3.08697377810791,2.70044256575979,2.84791205240735,2.2090534030958,2.38479788475133
"GSM5824855","B","Month2",3.05961891536293,3.0788187049658,2.80704627165609,2.79241788251641,2.35011007126025,2.49750000958165
"GSM5824839","B","Month6",2.9633714833372,3.10632241126057,2.85007274877138,2.83407972782604,2.20709942098918,2.47959693593382
"GSM5824984","C","Diagnosis",3.04951410207106,3.10461366028122,2.80259098591299,2.82218060260466,2.28714664606907,2.53769136047599
"GSM5824943","C","Month2",3.06783224775346,3.10730047955917,2.85103081173834,2.82930330201789,2.25343102400502,2.50737401862085
"GSM5824868","C","Month6",3.02597668171051,3.03740976553013,2.8954217663783,2.78780384039733,2.28741025030016,2.58890107618788
"GSM5824932","D","Diagnosis",3.02619758703928,3.05287674441639,2.77005519161535,2.82182878738826,2.1678929951382,2.45264299597311
"GSM5824904","D","Month2",3.01588827046195,3.1242117060601,2.9079539898694,2.83735539825273,2.22398879810501,2.53055031141081
"GSM5824955","D","Month6",3.03913317997915,3.09708459106727,2.80841608690488,2.80047286658404,2.17958731299994,2.49820112422551
"GSM5824970","E","Diagnosis",2.85810300097948,3.07356604588731,2.69427672697845,2.8352267369384,2.27861249855267,2.41107828585298
"GSM5824967","E","Month2",2.97235001690169,3.03933718540459,2.81472756416687,2.88800308388087,2.27628160219472,2.52468780471549
"GSM5824852","E","Month6",2.88478721824329,3.08158488522084,2.85779666801805,2.82678194941206,2.26497973518176,2.49517979447844
"GSM5824979","F","Diagnosis",2.92457559004872,3.05321224960801,2.79567035559026,2.84005844026754,2.14672729832272,2.38637159072899
"GSM5824885","F","Month2",2.84629057427965,3.11975858295864,2.89887106965662,2.84798690562034,2.21574719178038,2.47338344651817
"GSM5824878","F","Month6",2.96611935098213,3.09312741639767,2.82072863001553,2.8244286177579,2.28083462755191,2.43656435015563
